date,return_GRG.L,return_NXT.L,return_JD.L,return_DOM.L,return_JDW.L,return_BME.L,return_MKS.L,trends_GRG.L,trends_NXT.L,trends_JD.L,trends_DOM.L,trends_JDW.L,trends_BME.L,trends_MKS.L,Total_Container_Imports
2024-02-29,0.008982034832711205,-0.018185918608873308,0.007261964311142455,-0.04097900962082235,-0.09761902771543474,0.013883442883513952,-0.0424585138319733,87,47,29,65,62,59,42,32243.315
2024-03-31,0.0660237460010098,0.11041590893221098,0.14079721775658327,0.02255196542610416,-0.029683453612947885,0.038037331286827625,0.11951002124961785,96,56,32,57,70,71,46,32243.315
2024-04-30,-0.05189880070195185,-0.024263193025192198,-0.14052047267416334,-0.05435963403098987,-0.0149557099385772,-0.04910213755861759,-0.03508103560030029,83,56,33,54,65,72,42,34896.946
2024-05-31,0.0792951929078709,0.03663395287195503,0.1029411551119166,0.022099349607126006,0.05728086434814217,0.0493253172855308,0.18068786299997175,83,64,37,50,65,77,45,34896.946
2024-06-30,-0.05714287376384519,-0.03234104558366657,-0.06269994168822568,-0.07867862049707453,-0.04438651372126723,-0.197038389369519,-0.05132460036798614,81,58,44,51,72,69,43,34896.946
2024-07-31,0.1305916593362233,0.004360954986300181,0.1012553998490604,0.0560626170559988,0.0198088162157537,0.07067688515525195,0.1458987983661717,86,53,41,50,88,68,40,34460.133
2024-08-31,0.01595401322461254,0.12023374257237229,0.04825218198906844,-0.056062318304120895,0.016744816067053137,-0.0493484248431425,0.042339394250440865,91,55,38,50,75,72,47,34460.133
2024-09-30,-0.018785364905122393,-0.03767844484175231,0.1167088456902714,-0.016350558401279636,-0.023056614644830775,-0.06696622258919427,0.0888369015439332,88,62,32,51,76,72,47,34460.133
2024-10-31,-0.12227917318053028,0.0008178580968751792,-0.19506647263746346,0.0013299133530531027,-0.17180793551845697,-0.06647405673137718,0.008588338370832282,91,59,29,48,64,70,45,35355.386999999995
2024-11-30,-0.01458782010621329,0.02962195566373782,-0.17901025133188908,0.13014593594816493,0.045602588697635005,-0.10486140072943206,0.018387343145147117,98,67,42,45,64,81,53,35355.386999999995
2024-12-31,0.031088081027572212,-0.057669384197064355,-0.057956741398980105,-0.07461803994619776,-0.06542048964924052,0.05794173172010719,-0.01881376765144105,93,67,54,55,66,95,68,35355.386999999995
2025-01-31,-0.227566444428153,0.04779949824975871,-0.07069868577613003,-0.04634928453753584,0.04166661579130526,-0.11648210683309912,-0.10572574855439454,86,41,26,39,57,54,38,34238.636230000004
2025-02-28,-0.023234114119787153,0.007335196661208743,-0.12410232970423418,-0.03195737146252631,-0.04960001219055121,-0.1431657337427863,0.0565814798069566,84,46,23,44,62,56,37,34238.636230000004
2025-03-31,-0.1731684334867133,0.10573571655812564,-0.13015626693981863,-0.024759217260731825,-0.06902358355790439,-0.06229754392618303,0.0019729109086152885,87,55,25,43,68,62,38,34238.636230000004
2025-04-30,0.06846945373780544,0.11231395218664852,0.15729005356250392,-0.05123117735444016,0.18173600509776677,0.2918588719273989,0.09423343980539323,84,59,27,42,65,76,44,36351.967
2025-05-31,0.11176945610757083,0.043390041065312746,0.07050150383073572,-0.030483299480532744,0.1194258661781884,0.016349510360007535,-0.037466498027878714,90,58,27,39,63,71,35,36351.967
2025-06-30,-0.07025197788892013,-0.03303533805187886,0.05500950754620937,-0.013036779377012309,0.05878333888303322,-0.2059224727834993,-0.05341874576248251,79,55,29,38,62,64,35,36351.967
2025-07-31,-0.17665451365797502,-0.01031980039044067,-0.03696196767287452,-0.0668220169076108,-0.027759813207352546,-0.1731761356994843,-0.01805870804679588,88,55,30,41,70,68,39,36437.351
2025-08-31,-0.0018987198925555226,-0.028838313411170158,0.12356659178491203,-0.18678401787320986,-0.07702528289833166,0.0726381503211071,-0.007471274398376471,95,57,30,41,75,74,41,36437.351
2025-09-30,0.017242104315935425,0.03513174629598259,-0.007498364366724797,0.019457253548346598,-0.019424444696829357,0.08724559609995097,0.055298296772483546,99,58,27,40,63,70,43,36437.351
2025-10-31,0.005610948078480282,0.15555555204671,-0.02221282229093624,-0.022099489026850994,-0.05344349507796997,-0.31352698578781646,0.09135798251411553,97,61,25,41,67,74,43,34366.153000000006
2025-11-30,-0.03285798684154351,-0.012587442686993633,-0.1708520624790626,-0.10272213436534872,0.06434109172700886,-0.059640143242466914,-0.12591216206366418,95,73,41,43,65,81,51,34366.153000000006
2025-12-31,0.07692305283835776,-0.031102527585037065,0.0931917262591555,-0.007441338294458588,0.07428984140809503,-0.0005920123784899367,-0.05090600786165922,100,76,47,52,74,100,64,34366.153000000006
2026-01-31,-0.043452385278824,-0.03008609166247589,-0.031730937664222636,0.050173087145385376,-0.09084740830470417,0.04472752564947435,0.1093939926709302,83,52,22,39,62,62,37,33781.990167
